Values,Telencephalon,Tectum,Thalamus,Hypothalamus,Cerebellum,Hindbrain,Habenula,Posterior-Tuberculum
Volume (voxels),321640,776026,84614,537171,225755,615310,47546,55145
,,,,,,,,
Frame,Region 1,Region 2,Region 3,Region 4,Region 5,Region 6,Region 7,Region 8
1,1,2,3,4,5,6,7,8
nrros_exp3_het_10_8,-146.22552490234375, -160.3322296142578, -113.64983367919922, -128.3300018310547, -162.3621368408203, -127.72264099121094, -231.2774200439453, -93.11701965332031
nrros_exp3_het_13_8,12.040828704833984, 79.17281341552734, -9.524385452270508, -26.969024658203125, 20.85301971435547, -6.657400608062744, 61.0884895324707, -34.488948822021484
nrros_exp3_het_14_8,-35.96188735961914, 4.544529914855957, -12.862399101257324, -47.179874420166016, -33.24506759643555, -26.79145050048828, -86.43811798095703, -28.326953887939453
nrros_exp3_het_17_8,-41.946861267089844, 42.8785514831543, -24.089920043945312, -44.75408172607422, -28.154069900512695, -14.064081192016602, -47.869598388671875, -28.646331787109375
nrros_exp3_het_18_8,-205.36355590820312, -93.37862396240234, -46.9536018371582, -94.68396759033203, -98.83283996582031, -49.5234375, -194.44876098632812, -33.88010787963867
nrros_exp3_het_1_8,-53.183204650878906, 3.4903924465179443, -30.415645599365234, -7.247384548187256, -57.011104583740234, -12.956762313842773, -25.523786544799805, -29.07354736328125
nrros_exp3_het_20_8,-72.07764434814453, -10.984729766845703, -26.501371383666992, -45.81975173950195, -37.83807373046875, -7.624144554138184, -57.09918975830078, -35.40934371948242
nrros_exp3_het_21_8,-166.40321350097656, -88.06797790527344, -60.38065719604492, -65.21931457519531, -106.7677993774414, -43.007102966308594, -165.07354736328125, -42.0092887878418
nrros_exp3_het_3_8,-40.21197509765625, 28.62595558166504, 5.1659369468688965, -45.36609649658203, -53.13785171508789, -28.9498233795166, -67.31022644042969, -38.34951400756836
nrros_exp3_het_4_8,-175.23741149902344, -74.64617156982422, -28.676410675048828, -70.52052307128906, -21.94646644592285, -13.331899642944336, -183.8258056640625, -3.7300384044647217
nrros_exp3_het_5_8,-54.8665885925293, -2.380232572555542, -11.260717391967773, -39.34486389160156, -15.275489807128906, -29.55897331237793, -82.09431457519531, -38.828521728515625
nrros_exp3_het_6_8,1.7288950681686401, 39.85079574584961, 55.023223876953125, 34.02293014526367, 11.541823387145996, -8.827655792236328, 5.677389621734619, 18.253725051879883
nrros_exp3_het_7_8,-120.67533874511719, -46.31452560424805, 31.49848747253418, -63.245765686035156, -42.93062973022461, -29.654083251953125, -147.51023864746094, -46.07057189941406
nrros_exp3_het_8_8,-36.94701385498047, 53.05775451660156, -25.366416931152344, -42.18974304199219, -25.47292137145996, 0.9123578071594238, -25.659263610839844, -55.56667709350586
nrros_exp3_het_9_8,-137.38897705078125, -75.12670135498047, -54.965606689453125, -70.41432189941406, -50.979251861572266, -25.257831573486328, -168.60411071777344, 18.877370834350586
nrros_exp3_hom_11_8,-45.961116790771484, 23.891111373901367, -21.524614334106445, -57.126651763916016, -49.3045539855957, -28.78382682800293, -60.371665954589844, -33.92269515991211
nrros_exp3_hom_12_8,-125.36083984375, -46.40575408935547, -101.7961196899414, -76.7213363647461, -56.317848205566406, -33.95439529418945, -54.88374328613281, -76.85311126708984
nrros_exp3_hom_13_8,-77.33100891113281, -27.874401092529297, -50.875091552734375, -67.1740493774414, -66.53040313720703, -41.27516174316406, -108.99217224121094, -76.742431640625
nrros_exp3_hom_16_8,-152.1905975341797, -52.06642150878906, -65.48695373535156, -68.73370361328125, -97.34036254882812, -39.4094352722168, -166.79136657714844, 42.23936462402344
nrros_exp3_hom_18_8,-48.696712493896484, 5.62384557723999, -54.532440185546875, -52.0160026550293, -49.267822265625, -17.03165626525879, -63.592899322509766, -56.86690902709961
nrros_exp3_hom_1_8,4.152425289154053, 40.25685501098633, -17.648906707763672, -29.957958221435547, -3.1356618404388428, -17.025806427001953, 7.302862167358398, -32.492034912109375
nrros_exp3_hom_2_8,15.709940910339355, 56.363224029541016, -17.36551284790039, -16.12837028503418, 20.33559799194336, -12.752555847167969, 24.911527633666992, -31.489151000976562
nrros_exp3_hom_3_8,18.778783798217773, 46.9517936706543, 2.233431339263916, -19.60111427307129, -2.016636848449707, -0.06654038280248642, 8.678909301757812, -23.866071701049805
nrros_exp3_hom_4_8,-27.133630752563477, 24.594350814819336, -20.35342025756836, -34.14564514160156, -43.35331726074219, -22.14792251586914, -70.62117004394531, -26.027475357055664
nrros_exp3_hom_5_8,23.02220344543457, 22.540658950805664, -20.086944580078125, -14.676294326782227, 2.6260621547698975, -19.909072875976562, 29.11168670654297, -24.828380584716797
nrros_exp3_hom_6_8,-82.99906158447266, 8.604347229003906, -14.123226165771484, -53.893028259277344, -66.7319107055664, -37.06881332397461, -126.94017028808594, -50.58373260498047
nrros_exp3_hom_7_8,-112.48509216308594, -114.5278549194336, -105.83808898925781, -111.85771942138672, -119.81658172607422, -103.85541534423828, -114.2335205078125, -102.81382751464844
nrros_exp3_hom_9_8,-30.281795501708984, 20.12277603149414, -26.912830352783203, -41.94258117675781, -41.20233154296875, -22.59738540649414, -45.168617248535156, -46.47029113769531
nrros_exp3_wt_13_8,-65.54985046386719, -13.540908813476562, -2.357889175415039, -60.64603805541992, -68.86791229248047, -50.22993469238281, -82.37285614013672, -52.743648529052734
nrros_exp3_wt_14_8,-61.321197509765625, 13.644401550292969, -52.39358139038086, -51.595741271972656, -43.75067138671875, -22.243976593017578, -40.36723327636719, -37.2545280456543
nrros_exp3_wt_15_8,-65.07064056396484, -16.472583770751953, -33.501708984375, -61.245243072509766, -73.1298828125, -43.62334060668945, -96.85945892333984, -25.524656295776367
nrros_exp3_wt_16_8,-47.03949737548828, 30.845691680908203, -23.0302677154541, -58.90163803100586, -41.59282684326172, -21.836441040039062, -47.07254409790039, -41.56298065185547
nrros_exp3_wt_1_8,-17.206552505493164, 26.49675941467285, -7.975067138671875, -39.549076080322266, -11.766331672668457, -20.670547485351562, -27.59538459777832, -33.43560028076172
nrros_exp3_wt_3_8,28.47441291809082, 73.15505981445312, -11.227225303649902, -19.736351013183594, 16.091224670410156, -10.007122993469238, 59.681034088134766, -35.19390106201172
nrros_exp3_wt_4_8,-1.6481447219848633, 31.4665470123291, -39.22393798828125, -30.051116943359375, -11.63834285736084, -23.51955795288086, 35.059993743896484, -45.93313980102539
nrros_exp3_wt_5_8,-42.87875747680664, 7.033208847045898, -18.547809600830078, -53.905879974365234, -53.43873596191406, -34.18595504760742, -93.14390563964844, -23.318017959594727
nrros_exp3_wt_6_8,-63.29633712768555, 2.8986895084381104, -62.50680923461914, -63.92161178588867, -55.40013885498047, -38.72824478149414, -52.342041015625, -51.315433502197266
nrros_exp3_wt_9_8,-41.90891647338867, 34.07276916503906, -20.761089324951172, -39.004146575927734, -31.286771774291992, -6.9645586013793945, -38.640628814697266, -0.8476852178573608
